"","athlete_display_name","team_short_display_name","min","fg","fg3","ft","oreb","dreb","reb","ast","stl","blk","to","pf","plus_minus","pts","starter","ejected","did_not_play","active","athlete_jersey","athlete_id","athlete_short_name","athlete_headshot_href","athlete_position_name","athlete_position_abbreviation","team_name","team_logo","team_id","team_abbreviation","team_color","game_id","season","season_type","game_date"
"1","Kevin Durant","Nets","30","13-25","3-7","3-6","0","11","11","4","0","2","1","2","-20","32",TRUE,FALSE,FALSE,FALSE,"7","3202","K. Durant","https://a.espncdn.com/i/headshots/nba/players/full/3202.png","Power Forward","PF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"2","Blake Griffin","Nets","23","2-5","0-1","2-2","1","4","5","0","1","0","1","1","-6","6",TRUE,FALSE,FALSE,FALSE,"2","3989","B. Griffin","https://a.espncdn.com/i/headshots/nba/players/full/3989.png","Power Forward","PF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"3","Nic Claxton","Nets","24","6-9","0-0","0-3","0","7","7","0","0","0","0","3","-15","12",TRUE,FALSE,FALSE,FALSE,"33","4278067","N. Claxton","https://a.espncdn.com/i/headshots/nba/players/full/4278067.png","Power Forward","PF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"4","Joe Harris","Nets","31","3-9","3-5","0-0","0","2","2","2","0","0","2","1","0","9",TRUE,FALSE,FALSE,FALSE,"12","2528794","J. Harris","https://a.espncdn.com/i/headshots/nba/players/full/2528794.png","Small Forward","SF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"5","James Harden","Nets","31","6-16","4-8","4-4","3","5","8","8","1","2","4","3","-20","20",TRUE,FALSE,FALSE,FALSE,"13","3992","J. Harden","https://a.espncdn.com/i/headshots/nba/players/full/3992.png","Shooting Guard","SG","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"6","Paul Millsap","Nets","5","0-0","0-0","0-0","1","2","3","0","0","1","1","0","-1","0",FALSE,FALSE,FALSE,FALSE,"31","3015","P. Millsap","https://a.espncdn.com/i/headshots/nba/players/full/3015.png","Power Forward","PF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"7","James Johnson","Nets","21","0-2","0-1","1-2","0","0","0","2","0","1","0","3","-6","1",FALSE,FALSE,FALSE,TRUE,"16","3999","J. Johnson","https://a.espncdn.com/i/headshots/nba/players/full/3999.png","Power Forward","PF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"8","LaMarcus Aldridge","Nets","16","0-2","0-0","1-4","0","3","3","1","0","1","1","2","+2","1",FALSE,FALSE,FALSE,FALSE,"21","2983","L. Aldridge","https://a.espncdn.com/i/headshots/nba/players/full/2983.png","Forward","F","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"9","Bruce Brown","Nets","4","0-0","0-0","0-0","0","1","1","0","0","1","0","0","-9","0",FALSE,FALSE,FALSE,TRUE,"1","4065670","B. Brown","https://a.espncdn.com/i/headshots/nba/players/full/4065670.png","Small Forward","SF","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"10","Patty Mills","Nets","29","7-11","7-7","0-0","0","2","2","2","1","1","0","1","+7","21",FALSE,FALSE,FALSE,FALSE,"8","4004","P. Mills","https://a.espncdn.com/i/headshots/nba/players/full/4004.png","Point Guard","PG","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"11","Jevon Carter","Nets","19","0-3","0-2","0-0","0","2","2","0","0","0","1","1","-29","0",FALSE,FALSE,FALSE,TRUE,"0","3133635","J. Carter","https://a.espncdn.com/i/headshots/nba/players/full/3133635.png","Point Guard","PG","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"12","DeAndre' Bembry","Nets","4","0-0","0-0","0-0","0","0","0","0","0","0","0","0","-9","0",FALSE,FALSE,FALSE,TRUE,"95","3062667","D. Bembry","https://a.espncdn.com/i/headshots/nba/players/full/3062667.png","Shooting Guard","SG","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"13","Cam Thomas","Nets","4","0-2","0-1","2-2","0","0","0","0","0","0","1","0","-9","2",FALSE,FALSE,FALSE,TRUE,"24","4432174","C. Thomas","https://a.espncdn.com/i/headshots/nba/players/full/4432174.png","Shooting Guard","SG","Nets","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","17","BKN","000000",401358773,2022,2,2021-10-19
"14","Giannis Antetokounmpo","Bucks","31","12-25","1-4","7-9","5","9","14","7","1","2","4","4","+25","32",TRUE,FALSE,FALSE,FALSE,"34","3032977","G. Antetokounmpo","https://a.espncdn.com/i/headshots/nba/players/full/3032977.png","Power Forward","PF","Bucks","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","15","MIL","003813",401358773,2022,2,2021-10-19
"15","Khris Middleton","Bucks","31","8-17","1-4","3-4","0","9","9","3","1","0","1","3","+20","20",TRUE,FALSE,FALSE,FALSE,"22","6609","K. Middleton","https://a.espncdn.com/i/headshots/nba/players/full/6609.png","Small Forward","SF","Bucks","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","15","MIL","003813",401358773,2022,2,2021-10-19
"16","Brook Lopez","Bucks","28","3-9","2-4","0-0","2","3","5","0","1","3","0","3","0","8",TRUE,FALSE,FALSE,FALSE,"11","3448","B. Lopez","https://a.espncdn.com/i/headshots/nba/players/full/3448.png","Center","C","Bucks","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","15","MIL","003813",401358773,2022,2,2021-10-19
"17","Jrue Holiday","Bucks","18","5-7","2-4","0-0","1","0","1","1","1","0","0","0","+17","12",TRUE,FALSE,FALSE,FALSE,"21","3995","J. Holiday","https://a.espncdn.com/i/headshots/nba/players/full/3995.png","Point Guard","PG","Bucks","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","15","MIL","003813",401358773,2022,2,2021-10-19
"18","Grayson Allen","Bucks","28","3-10","3-10","1-1","0","4","4","6","2","0","0","0","+23","10",TRUE,FALSE,FALSE,FALSE,"7","3135045","G. Allen","https://a.espncdn.com/i/headshots/nba/players/full/3135045.png","Shooting Guard","SG","Bucks","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","15","MIL","003813",401358773,2022,2,2021-10-19
"19","Sandro Mamukelashvili","Bucks","7","0-1","0-0","0-0","0","1","1","1","0","0","0","0","+9","0",FALSE,FALSE,FALSE,TRUE,"54","4278580","S. Mamukelashvili","https://a.espncdn.com/i/headshots/nba/players/full/4278580.png","Power Forward","PF","Bucks","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","15","MIL","003813",401358773,2022,2,2021-10-19
