"date","month","year","event","championship","decision","decision_group","round","time","p1_result","p1_id","p1_name","p1_country","p1_sex","p2_result","p2_id","p2_name","p2_country","p2_sex","wtClass"
"12/4/10",12,2010,"Strikeforce: Henderson vs. Babalu 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",2504991,"Aaron, Tom","USA","M","W",2504993,"Ricehouse, Matt","USA","M","Lightweight"
"5/15/10",5,2010,"Strikeforce: Heavy Artillery",FALSE,"Submission","Submission","1","00:56:00","W",2504991,"Aaron, Tom","USA","M","L",2504992,"Steenberg, Eric","CAN","M","Catchweight"
"6/12/09",6,2009,"EFP: Extreme Fight Production",FALSE,"TKO","KO/TKO","2","01:47:00","L",2504991,"Aaron, Tom","USA","M","W",2504956,"Voelker, Bobby","USA","M","Welterweight"
"1/23/09",1,2009,"XF: X-Treme Fight 1",FALSE,"Unanimous Decision","Decision","3","05:00:00","L",2504991,"Aaron, Tom","USA","M","W",2514253,"Marriott, Eric","USA","M","Lightweight"
"3/25/22",3,2022,"LFA 127: Diaz vs. Assis",FALSE,"KO/TKO","KO/TKO","1","01:37:00","L",4239497,"Aaron, Tommy","ESP","M","W",5078428,"Melo, Junior","BRA","M","Welterweight"
"4/23/21",4,2021,"Combate Global: 2021 Lightweight Championship Tournament",FALSE,"Decision - Split","Decision","3","05:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",4236955,"Gomez, Luis","USA","M","Welterweight"
"2/19/21",2,2021,"LFA 100: Altamirano vs. Smith",FALSE,"Submission (Rear Naked Choke)","Submission","3","03:57:00","W",4239497,"Aaron, Tommy","ESP","M","L",4900781,"Scott, Gerald","ENG","M","Welterweight"
"5/19/18",5,2018,"CG 21: Celtic Gladiator 21",FALSE,"TKO (Injury)","KO/TKO","2","00:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",4895680,"Alvarez, Samuel","USA","M","Welterweight"
"1/20/18",1,2018,"Bellator 192: Rampage vs. Sonnen",FALSE,"TKO (Punches)","KO/TKO","1","00:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",4354423,"Roberts, Roosevelt","USA","M","Welterweight"
"9/9/17",9,2017,"FCOC: Rumble On The Water",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4239497,"Aaron, Tommy","ESP","M","L",3112009,"Jaynes, Justin","USA","M","Welterweight"
"1/21/17",1,2017,"Bellator 170: Sonnen vs. Ortiz",FALSE,"KO","KO/TKO","1","01:02:00","L",4239497,"Aaron, Tommy","ESP","M","W",4043884,"Segura, Mike","USA","M","Welterweight"
"8/19/16",8,2016,"RFA 42: Giagos vs. Estrazulas",FALSE,"Decision - Majority","Decision","3","05:00:00","L",4239497,"Aaron, Tommy","ESP","M","W",3955570,"Duenas, Adin","USA","M","Welterweight"
"6/3/16",6,2016,"RFA 38: Moises vs. Emmers",FALSE,"TKO","KO/TKO","1","01:15:00","W",4239497,"Aaron, Tommy","ESP","M","L",4239742,"Faultersack, Luke","USA","M","Welterweight"
"12/11/15",12,2015,"RFA 33: Townsend vs. Chavez",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4239497,"Aaron, Tommy","ESP","M","L",4239743,"Rosales, Jacob","USA","M","Welterweight"
"2/15/13",2,2013,"Fury MMA 5: Blackler vs. Promrangka",FALSE,"Submission (Rear Naked Choke)","Submission","2","00:00:00","L",3089919,"Aarts, Mike","ESP","M","W",3089918,"O'Reilly, Brendan","AUS","M","Welterweight"
"3/26/16",3,2016,"ACB 32: Battle of Lions",FALSE,"Decision - Majority (Draw)","Decision","3","05:00:00","D",4401351,"Abaev, Imran","RUS","M","D",4289879,"Davlatmurodov, Sharaf","RUS","M","Middleweight"
"1/18/01",1,2001,"Bushido 1: Bushido 1",FALSE,"KO","KO/TKO","1","00:00:00","L",2501542,"Abajian, Jason","RUS","M","W",2470332,"Thomson, Josh","USA","M","Lightweight"
"12/15/12",12,2012,"ECSF: MMA Grand Prix of Eastern Europe 2",FALSE,"Submission (Triangle Choke)","Submission","-","00:30:00","W",3149709,"Abargel, Ariel","USA","M","L",3722423,"Ragimov, Tural","AZE","M","Featherweight"
"9/23/06",9,2006,"UFC 63: Hughes vs. Penn",FALSE,"Decision - Split","Decision","3","05:00:00","L",2556806,"Abbadi, Danny","RUS","M","W",2410613,"Gurgel, Jorge","BRA","M","Lightweight"
"10/20/07",10,2007,"ECC 6: Hometown Heroes",FALSE,"Submission (Rear Naked Choke)","Submission","1","01:21:00","L",2580270,"Abbas, Adil","RUS","M","W",2557943,"Ford, Ryan","CAN","M","Welterweight"
"7/25/21",7,2021,"LFL 2: Levels Fight League 2",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",5077792,"Abbas-Zade, Hussein","RUS","M","W",5077789,"Loughran, Caolan","IRL","M","Featherweight"
"9/26/14",9,2014,"GEFC: Baku Open Cup",FALSE,"KO/TKO","KO/TKO","2","02:15:00","L",5093808,"Abbasov, Elmir","AZE","M","W",4294871,"Abbasov, Nariman","KGZ","M","Lightweight"
"11/18/22",11,2022,"ONE on Prime Video 4: Abbasov vs. Lee",FALSE,"KO/TKO","KO/TKO","4","04:20:00","L",4275038,"Abbasov, Kiamrian","KGZ","M","W",4238217,"Lee, Christian","CAN","M","Middleweight"
"2/25/22",2,2022,"ONE Championship: Full Circle",TRUE,"Submission","Submission","3","00:57:00","L",4275038,"Abbasov, Kiamrian","KGZ","M","W",4423880,"de Ridder, Reinier","NED","M","Heavyweight"
"11/6/20",11,2020,"ONE Championship: Inside the Matrix 2",TRUE,"KO/TKO","KO/TKO","4","03:27:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",3931157,"Nakashima, James","USA","M","Middleweight"
"5/3/19",5,2019,"ONE Championship: For Honor",FALSE,"KO/TKO","KO/TKO","2","01:10:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",2335695,"Okami, Yushin","JPN","M","Middleweight"
"12/7/18",12,2018,"ONE Championship 86: Destiny of Champions",FALSE,"Submission (Rear Naked Choke)","Submission","1","02:35:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",4206065,"Thani, Agilan","MAS","M","Middleweight"
"3/9/18",3,2018,"ONE Championship 69: Visions of Victory",FALSE,"Decision - Unanimous","Decision","3","05:00:00","L",4275038,"Abbasov, Kiamrian","KGZ","M","W",2559764,"Santos, Luis","BRA","M","Middleweight"
"12/3/16",12,2016,"MixFace/Tech-Krep FC: MixFace 1",FALSE,"Decision - Unanimous","Decision","3","05:00:00","W",4275038,"Abbasov, Kiamrian","KGZ","M","L",4274911,"Olenichev, Oleg","RUS","M","Middleweight"
